loan_id,age,annual_income,home_ownership,employment_length,loan_purpose,loan_grade,loan_amount,interest_rate,default_flag,loan_to_income_ratio,previous_default_flag,credit_history_length,default_status,previous_default_status,age_group,income_segment,loan_amount_segment,interest_rate_segment,loan_to_income_segment,credit_history_segment,employment_length_segment,grade_risk_score,interest_risk_score,dti_risk_score,previous_default_risk_score,income_risk_score,risk_score,risk_level
11885,24,77000,Mortgage,8.0,Medical,A,14000,8.94,0,0.18,N,3,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Low Rate,Low DTI,Very Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11886,20,77000,Mortgage,4.0,Venture,A,6000,8.0,0,0.08,N,2,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Very Low Rate,Very Low DTI,Very Short History,4-5 Years,5,5,5,0,0,15,Low Risk
11887,26,77000,Mortgage,4.0,Debtconsolidation,C,5400,13.04,0,0.07,Y,3,Non-Default,Previous Default,26-35,Mid Income,Small Loan,Medium Rate,Very Low DTI,Very Short History,4-5 Years,20,10,5,15,0,50,Medium Risk
11888,24,71000,Mortgage,6.0,Education,B,5000,10.39,1,0.07,N,2,Default,No Previous Default,18-25,Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
11889,23,71000,Mortgage,2.0,Debtconsolidation,E,20000,15.13,1,0.28,Y,2,Default,Previous Default,18-25,Mid Income,Large Loan,Medium Rate,Medium DTI,Very Short History,2-3 Years,50,10,10,15,0,85,Very High Risk
11890,26,40000,Rent,3.0,Medical,C,10200,13.48,0,0.26,N,3,Non-Default,No Previous Default,26-35,Lower-Mid Income,Medium Loan,Medium Rate,Medium DTI,Very Short History,2-3 Years,20,10,10,0,0,40,Medium Risk
11891,26,77004,Mortgage,0.0,Medical,B,6000,11.99,0,0.08,N,4,Non-Default,No Previous Default,26-35,Mid Income,Small Loan,Low Rate,Very Low DTI,Short History,0-1 Years,10,5,5,0,0,20,Low Risk
11892,25,77004,Mortgage,9.0,Personal,B,15000,9.63,0,0.19,N,2,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Low Rate,Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
11893,23,77004,Mortgage,6.0,Medical,A,12000,5.79,0,0.16,N,3,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Very Low Rate,Low DTI,Very Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11894,24,42000,Rent,4.0,Education,A,10200,7.49,0,0.24,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Very Low Rate,Medium DTI,Short History,4-5 Years,5,5,10,0,0,20,Low Risk
11895,23,77004,Mortgage,7.0,Venture,A,6000,7.88,0,0.08,N,2,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Very Low Rate,Very Low DTI,Very Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11896,24,71004,Mortgage,8.0,Debtconsolidation,D,5000,14.96,1,0.07,Y,3,Default,Previous Default,18-25,Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,6-10 Years,35,10,5,15,0,65,High Risk
11897,25,71004,Mortgage,1.0,Debtconsolidation,E,2400,17.04,1,0.03,N,3,Default,No Previous Default,18-25,Mid Income,Very Small Loan,High Rate,Very Low DTI,Very Short History,0-1 Years,50,15,5,0,0,70,High Risk
11898,25,77004,Mortgage,2.0,Debtconsolidation,C,16000,13.92,0,0.21,N,2,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Medium Rate,Medium DTI,Very Short History,2-3 Years,20,10,10,0,0,40,Medium Risk
11899,20,77052,Mortgage,4.0,Education,B,24250,11.36,0,0.31,N,2,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Low Rate,High DTI,Very Short History,4-5 Years,10,5,20,0,0,35,Medium Risk
11900,25,77078,Mortgage,1.0,Debtconsolidation,B,3425,12.18,0,0.04,N,2,Non-Default,No Previous Default,18-25,Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,0-1 Years,10,10,5,0,0,25,Low Risk
11901,22,50004,Rent,6.0,Education,D,10200,15.21,0,0.2,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Medium Rate,Low DTI,Short History,6-10 Years,35,10,10,0,0,55,High Risk
11902,23,55000,Rent,0.0,Personal,C,10200,12.73,0,0.19,Y,2,Non-Default,Previous Default,18-25,Lower-Mid Income,Medium Loan,Medium Rate,Low DTI,Very Short History,0-1 Years,20,10,5,15,0,50,Medium Risk
11903,22,77237,Mortgage,0.0,Medical,A,5875,6.17,0,0.08,N,3,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Very Low Rate,Very Low DTI,Very Short History,0-1 Years,5,5,5,0,0,15,Low Risk
11904,24,77237,Mortgage,8.0,Medical,A,15000,6.17,0,0.19,N,3,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Very Low Rate,Low DTI,Very Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11905,23,85000,Rent,1.0,Debtconsolidation,A,10200,7.49,0,0.12,N,3,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Very Low Rate,Low DTI,Very Short History,0-1 Years,5,5,5,0,0,15,Low Risk
11906,22,90000,Rent,6.0,Medical,B,10200,11.71,0,0.11,N,3,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Low Rate,Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
11907,24,77350,Mortgage,2.0,Debtconsolidation,C,4800,13.79,0,0.06,Y,4,Non-Default,Previous Default,18-25,Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Short History,2-3 Years,20,10,5,15,0,50,Medium Risk
11908,24,100000,Rent,1.0,Personal,C,10200,12.99,0,0.1,Y,4,Non-Default,Previous Default,18-25,Mid Income,Medium Loan,Medium Rate,Very Low DTI,Short History,0-1 Years,20,10,5,15,0,50,Medium Risk
11909,24,22000,Rent,8.0,Education,A,11000,7.51,1,0.5,N,2,Default,No Previous Default,18-25,Low Income,Medium Loan,Very Low Rate,High DTI,Very Short History,6-10 Years,5,5,25,0,10,45,Medium Risk
11910,26,27000,Rent,9.0,Debtconsolidation,A,11000,8.9,1,0.41,N,3,Default,No Previous Default,26-35,Low Income,Medium Loan,Low Rate,High DTI,Very Short History,6-10 Years,5,5,20,0,10,40,Medium Risk
11911,23,27000,Rent,7.0,Debtconsolidation,A,11000,8.59,1,0.41,N,4,Default,No Previous Default,18-25,Low Income,Medium Loan,Low Rate,High DTI,Short History,6-10 Years,5,5,20,0,10,40,Medium Risk
11912,22,27300,Rent,1.0,Medical,B,11000,11.48,1,0.4,N,4,Default,No Previous Default,18-25,Low Income,Medium Loan,Low Rate,High DTI,Short History,0-1 Years,10,5,20,0,10,45,Medium Risk
11913,21,29000,Rent,6.0,Medical,C,11000,13.49,1,0.38,Y,2,Default,Previous Default,18-25,Low Income,Medium Loan,Medium Rate,High DTI,Very Short History,6-10 Years,20,10,20,15,10,75,High Risk
11914,21,29004,Rent,5.0,Medical,C,11000,14.22,1,0.38,N,2,Default,No Previous Default,18-25,Low Income,Medium Loan,Medium Rate,High DTI,Very Short History,4-5 Years,20,10,20,0,10,60,High Risk
11915,23,29472,Rent,3.0,Debtconsolidation,C,11000,13.49,1,0.37,N,4,Default,No Previous Default,18-25,Low Income,Medium Loan,Medium Rate,High DTI,Short History,2-3 Years,20,10,20,0,10,60,High Risk
11916,25,30720,Rent,2.0,Homeimprovement,C,11000,13.72,1,0.36,N,2,Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Medium Rate,High DTI,Very Short History,2-3 Years,20,10,20,0,0,50,Medium Risk
11917,26,77604,Mortgage,0.0,Debtconsolidation,C,6800,13.06,0,0.09,Y,4,Non-Default,Previous Default,26-35,Mid Income,Small Loan,Medium Rate,Very Low DTI,Short History,0-1 Years,20,10,5,15,0,50,Medium Risk
11918,23,32000,Rent,4.0,Education,B,11000,9.91,1,0.34,N,3,Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Low Rate,High DTI,Very Short History,4-5 Years,10,5,20,0,0,35,Medium Risk
11919,25,32000,Rent,7.0,Debtconsolidation,A,11000,7.66,1,0.34,N,3,Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Very Low Rate,High DTI,Very Short History,6-10 Years,5,5,20,0,0,30,Medium Risk
11920,23,77705,Mortgage,4.0,Education,E,4000,16.77,0,0.05,Y,4,Non-Default,Previous Default,18-25,Mid Income,Very Small Loan,High Rate,Very Low DTI,Short History,4-5 Years,50,15,5,15,0,85,Very High Risk
11921,23,77705,Mortgage,4.0,Debtconsolidation,A,11700,6.17,0,0.15,N,3,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Very Low Rate,Low DTI,Very Short History,4-5 Years,5,5,5,0,0,15,Low Risk
11922,23,33000,Rent,0.0,Debtconsolidation,A,11000,7.66,1,0.33,N,2,Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Very Low Rate,High DTI,Very Short History,0-1 Years,5,5,20,0,0,30,Medium Risk
11923,25,77800,Mortgage,9.0,Personal,B,30000,10.99,0,0.39,N,4,Non-Default,No Previous Default,18-25,Mid Income,Very Large Loan,Low Rate,High DTI,Short History,6-10 Years,10,5,20,0,0,35,Medium Risk
11924,23,77927,Mortgage,7.0,Education,C,15000,12.99,0,0.19,Y,4,Non-Default,Previous Default,18-25,Mid Income,Medium Loan,Medium Rate,Low DTI,Short History,6-10 Years,20,10,5,15,0,50,Medium Risk
11925,23,33600,Rent,7.0,Medical,D,11000,15.65,1,0.33,Y,3,Default,Previous Default,18-25,Lower-Mid Income,Medium Loan,Medium Rate,High DTI,Very Short History,6-10 Years,35,10,20,15,0,80,Very High Risk
11926,25,29000,Rent,9.0,Personal,A,11000,8.49,1,0.38,N,2,Default,No Previous Default,18-25,Low Income,Medium Loan,Low Rate,High DTI,Very Short History,6-10 Years,5,5,20,0,10,40,Medium Risk
11927,24,78000,Mortgage,0.0,Venture,A,2300,7.49,0,0.03,N,4,Non-Default,No Previous Default,18-25,Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Short History,0-1 Years,5,5,5,0,0,15,Low Risk
11928,23,78000,Mortgage,7.0,Education,B,2400,12.42,0,0.03,N,2,Non-Default,No Previous Default,18-25,Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,6-10 Years,10,10,5,0,0,25,Low Risk
11929,24,72000,Mortgage,8.0,Education,C,14000,14.65,1,0.19,Y,4,Default,Previous Default,18-25,Mid Income,Medium Loan,Medium Rate,Low DTI,Short History,6-10 Years,20,10,5,15,0,50,Medium Risk
11930,25,72000,Mortgage,9.0,Debtconsolidation,C,10000,14.27,1,0.14,N,3,Default,No Previous Default,18-25,Mid Income,Small Loan,Medium Rate,Low DTI,Very Short History,6-10 Years,20,10,5,0,0,35,Medium Risk
11931,24,29000,Rent,0.0,Education,D,11000,15.05,1,0.38,Y,4,Default,Previous Default,18-25,Low Income,Medium Loan,Medium Rate,High DTI,Short History,0-1 Years,35,10,20,15,10,90,Very High Risk
11932,24,78000,Own,6.0,Homeimprovement,B,4500,12.69,0,0.06,N,3,Non-Default,No Previous Default,18-25,Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,6-10 Years,10,10,5,0,0,25,Low Risk
11933,23,57000,Rent,0.0,Education,D,11050,14.74,1,0.19,N,4,Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Medium Rate,Low DTI,Short History,0-1 Years,35,10,5,0,0,50,Medium Risk
11934,23,78000,Mortgage,0.0,Medical,A,10000,6.62,0,0.13,N,2,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Very Low Rate,Low DTI,Very Short History,0-1 Years,5,5,5,0,0,15,Low Risk
11935,25,78000,Mortgage,9.0,Education,A,8000,7.9,0,0.1,N,4,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Very Low Rate,Very Low DTI,Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11936,22,30000,Rent,1.0,Personal,A,11100,6.62,1,0.37,N,4,Default,No Previous Default,18-25,Low Income,Medium Loan,Very Low Rate,High DTI,Short History,0-1 Years,5,5,20,0,0,30,Medium Risk
11937,23,78000,Mortgage,5.0,Education,B,5000,11.71,0,0.06,N,2,Non-Default,No Previous Default,18-25,Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,4-5 Years,10,5,5,0,0,20,Low Risk
11938,26,78000,Mortgage,7.0,Personal,A,7200,6.62,0,0.09,N,2,Non-Default,No Previous Default,26-35,Mid Income,Small Loan,Very Low Rate,Very Low DTI,Very Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11939,24,78000,Mortgage,0.0,Homeimprovement,A,5000,6.62,0,0.06,N,4,Non-Default,No Previous Default,18-25,Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Short History,0-1 Years,5,5,5,0,0,15,Low Risk
11940,24,78000,Mortgage,3.0,Debtconsolidation,A,8500,7.51,0,0.11,N,4,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Very Low Rate,Low DTI,Short History,2-3 Years,5,5,5,0,0,15,Low Risk
11941,22,78000,Mortgage,2.0,Education,B,1750,10.65,0,0.02,N,4,Non-Default,No Previous Default,18-25,Mid Income,Very Small Loan,Low Rate,Very Low DTI,Short History,2-3 Years,10,5,5,0,0,20,Low Risk
11942,22,72000,Mortgage,1.0,Personal,C,8500,15.96,1,0.12,N,2,Default,No Previous Default,18-25,Mid Income,Small Loan,Medium Rate,Low DTI,Very Short History,0-1 Years,20,10,5,0,0,35,Medium Risk
11943,22,32244,Rent,2.0,Venture,B,11100,12.21,1,0.34,N,3,Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Medium Rate,High DTI,Very Short History,2-3 Years,10,10,20,0,0,40,Medium Risk
11944,25,45000,Rent,2.0,Debtconsolidation,C,11100,13.11,0,0.25,N,2,Non-Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Medium Rate,Medium DTI,Very Short History,2-3 Years,20,10,10,0,0,40,Medium Risk
11945,23,78000,Mortgage,4.0,Personal,A,15000,8.49,0,0.19,N,2,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Low Rate,Low DTI,Very Short History,4-5 Years,5,5,5,0,0,15,Low Risk
11946,22,62500,Rent,0.0,Personal,C,11100,13.48,0,0.18,Y,3,Non-Default,Previous Default,18-25,Mid Income,Medium Loan,Medium Rate,Low DTI,Very Short History,0-1 Years,20,10,5,15,0,50,Medium Risk
11947,23,78000,Mortgage,7.0,Medical,B,25000,10.99,0,0.32,N,4,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Low Rate,High DTI,Short History,6-10 Years,10,5,20,0,0,35,Medium Risk
11948,26,78000,Mortgage,7.0,Homeimprovement,B,3000,11.49,0,0.04,N,2,Non-Default,No Previous Default,26-35,Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
11949,26,78000,Mortgage,10.0,Education,A,8325,6.99,0,0.11,N,4,Non-Default,No Previous Default,26-35,Mid Income,Small Loan,Very Low Rate,Low DTI,Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11950,23,78000,Mortgage,4.0,Debtconsolidation,C,6000,12.99,0,0.08,N,3,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Medium Rate,Very Low DTI,Very Short History,4-5 Years,20,10,5,0,0,35,Medium Risk
11951,21,40000,Own,5.0,Medical,A,12000,8.9,0,0.3,N,2,Non-Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Low Rate,Medium DTI,Very Short History,4-5 Years,5,5,20,0,0,30,Medium Risk
11952,22,26000,Rent,5.0,Personal,D,11200,16.89,1,0.43,N,3,Default,No Previous Default,18-25,Low Income,Medium Loan,High Rate,High DTI,Very Short History,4-5 Years,35,15,20,0,10,80,Very High Risk
11953,24,30852,Rent,4.0,Medical,A,11200,5.79,1,0.36,N,4,Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Very Low Rate,High DTI,Short History,4-5 Years,5,5,20,0,0,30,Medium Risk
11954,23,78000,Mortgage,7.0,Education,C,4200,13.06,0,0.05,N,3,Non-Default,No Previous Default,18-25,Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,6-10 Years,20,10,5,0,0,35,Medium Risk
11955,24,78000,Mortgage,3.0,Debtconsolidation,B,20000,10.37,0,0.26,N,2,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Low Rate,Medium DTI,Very Short History,2-3 Years,10,5,10,0,0,25,Low Risk
11956,25,78000,Mortgage,9.0,Education,A,8000,5.79,0,0.1,N,2,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Very Low Rate,Very Low DTI,Very Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11957,25,78000,Mortgage,2.0,Venture,B,6000,10.99,0,0.08,N,4,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Low Rate,Very Low DTI,Short History,2-3 Years,10,5,5,0,0,20,Low Risk
11958,22,40000,Own,6.0,Education,D,5000,16.29,0,0.13,Y,4,Non-Default,Previous Default,18-25,Lower-Mid Income,Very Small Loan,High Rate,Low DTI,Short History,6-10 Years,35,15,5,15,0,70,High Risk
11959,23,78000,Mortgage,7.0,Education,A,4600,7.66,0,0.06,N,2,Non-Default,No Previous Default,18-25,Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11960,24,40000,Own,4.0,Venture,A,12000,6.03,0,0.3,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Very Low Rate,Medium DTI,Short History,4-5 Years,5,5,20,0,0,30,Medium Risk
11961,24,78000,Mortgage,8.0,Debtconsolidation,A,3600,5.42,0,0.05,N,4,Non-Default,No Previous Default,18-25,Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11962,23,78000,Mortgage,7.0,Education,A,12400,7.29,0,0.16,N,3,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Very Low Rate,Low DTI,Very Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11963,26,36000,Rent,4.0,Medical,A,11200,7.49,1,0.31,N,3,Default,No Previous Default,26-35,Lower-Mid Income,Medium Loan,Very Low Rate,High DTI,Very Short History,4-5 Years,5,5,20,0,0,30,Medium Risk
11964,26,78000,Mortgage,8.0,Personal,C,12000,13.43,0,0.15,N,4,Non-Default,No Previous Default,26-35,Mid Income,Medium Loan,Medium Rate,Low DTI,Short History,6-10 Years,20,10,5,0,0,35,Medium Risk
11965,25,30840,Rent,2.0,Venture,D,11200,17.27,1,0.36,N,4,Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,High Rate,High DTI,Short History,2-3 Years,35,15,20,0,0,70,High Risk
11966,22,40000,Rent,2.0,Venture,A,11200,7.88,0,0.28,N,2,Non-Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Very Low Rate,Medium DTI,Very Short History,2-3 Years,5,5,10,0,0,20,Low Risk
11967,24,41600,Rent,2.0,Medical,B,11200,10.62,0,0.27,N,3,Non-Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Low Rate,Medium DTI,Very Short History,2-3 Years,10,5,10,0,0,25,Low Risk
11968,22,78000,Mortgage,3.0,Education,A,12000,6.54,0,0.15,N,3,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Very Low Rate,Low DTI,Very Short History,2-3 Years,5,5,5,0,0,15,Low Risk
11969,21,42000,Rent,5.0,Venture,D,11200,16.77,0,0.27,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,High Rate,Medium DTI,Short History,4-5 Years,35,15,10,0,0,60,High Risk
11970,25,78000,Mortgage,0.0,Debtconsolidation,A,10000,5.79,0,0.13,N,2,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Very Low Rate,Low DTI,Very Short History,0-1 Years,5,5,5,0,0,15,Low Risk
11971,23,78000,Mortgage,2.0,Venture,A,6000,6.91,0,0.08,N,4,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Very Low Rate,Very Low DTI,Short History,2-3 Years,5,5,5,0,0,15,Low Risk
11972,22,42000,Rent,6.0,Education,B,11200,10.99,0,0.27,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Low Rate,Medium DTI,Short History,6-10 Years,10,5,10,0,0,25,Low Risk
11973,26,78000,Mortgage,4.0,Personal,B,1750,10.36,0,0.02,N,2,Non-Default,No Previous Default,26-35,Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,4-5 Years,10,5,5,0,0,20,Low Risk
11974,23,45000,Rent,2.0,Personal,B,11200,10.59,0,0.25,N,2,Non-Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Low Rate,Medium DTI,Very Short History,2-3 Years,10,5,10,0,0,25,Low Risk
11975,25,78000,Mortgage,0.0,Venture,A,14000,7.51,0,0.18,N,3,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Very Low Rate,Low DTI,Very Short History,0-1 Years,5,5,5,0,0,15,Low Risk
11976,23,72000,Mortgage,6.0,Venture,C,12000,13.61,1,0.17,Y,2,Default,Previous Default,18-25,Mid Income,Medium Loan,Medium Rate,Low DTI,Very Short History,6-10 Years,20,10,5,15,0,50,Medium Risk
11977,24,45000,Rent,0.0,Medical,C,11200,12.04,0,0.25,Y,3,Non-Default,Previous Default,18-25,Lower-Mid Income,Medium Loan,Medium Rate,Medium DTI,Very Short History,0-1 Years,20,10,10,15,0,55,High Risk
11978,26,78000,Own,2.0,Venture,C,2400,14.72,0,0.03,Y,3,Non-Default,Previous Default,26-35,Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,2-3 Years,20,10,5,15,0,50,Medium Risk
11979,22,78000,Mortgage,6.0,Debtconsolidation,A,15000,7.88,0,0.19,N,3,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Very Low Rate,Low DTI,Very Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11980,23,78000,Mortgage,0.0,Venture,D,25000,15.58,0,0.32,Y,3,Non-Default,Previous Default,18-25,Mid Income,Large Loan,Medium Rate,High DTI,Very Short History,0-1 Years,35,10,20,15,0,80,Very High Risk
11981,25,78000,Mortgage,4.0,Debtconsolidation,B,2400,11.86,0,0.03,N,4,Non-Default,No Previous Default,18-25,Mid Income,Very Small Loan,Low Rate,Very Low DTI,Short History,4-5 Years,10,5,5,0,0,20,Low Risk
11982,24,78000,Mortgage,8.0,Homeimprovement,B,9800,10.99,0,0.13,N,3,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Low Rate,Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
11983,23,78000,Mortgage,7.0,Education,B,1000,9.88,0,0.01,N,3,Non-Default,No Previous Default,18-25,Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
11984,24,50000,Rent,0.0,Venture,C,11200,13.85,0,0.22,Y,3,Non-Default,Previous Default,18-25,Lower-Mid Income,Medium Loan,Medium Rate,Medium DTI,Very Short History,0-1 Years,20,10,10,15,0,55,High Risk
11985,23,72000,Mortgage,5.0,Education,F,19000,18.535,1,0.26,Y,2,Default,Previous Default,18-25,Mid Income,Large Loan,High Rate,Medium DTI,Very Short History,4-5 Years,65,15,10,15,0,100,Very High Risk
11986,22,52000,Rent,4.0,Medical,A,11200,6.62,0,0.22,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Very Low Rate,Medium DTI,Short History,4-5 Years,5,5,10,0,0,20,Low Risk
11987,23,78000,Mortgage,7.0,Education,A,6150,7.88,0,0.08,N,2,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Very Low Rate,Very Low DTI,Very Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11988,23,54000,Rent,4.0,Education,C,11200,13.99,0,0.21,Y,2,Non-Default,Previous Default,18-25,Lower-Mid Income,Medium Loan,Medium Rate,Medium DTI,Very Short History,4-5 Years,20,10,10,15,0,55,High Risk
11989,22,78000,Mortgage,6.0,Education,B,18000,10.99,0,0.23,N,3,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Low Rate,Medium DTI,Very Short History,6-10 Years,10,5,10,0,0,25,Low Risk
11990,22,78000,Mortgage,6.0,Medical,A,7750,7.51,0,0.1,N,4,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Very Low Rate,Very Low DTI,Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11991,22,78000,Mortgage,6.0,Education,E,16000,16.45,0,0.21,Y,2,Non-Default,Previous Default,18-25,Mid Income,Large Loan,High Rate,Medium DTI,Very Short History,6-10 Years,50,15,10,15,0,90,Very High Risk
11992,22,78000,Mortgage,3.0,Education,E,16000,16.45,0,0.21,N,3,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,High Rate,Medium DTI,Very Short History,2-3 Years,50,15,10,0,0,75,High Risk
11993,24,78000,Mortgage,4.0,Personal,A,14500,7.51,0,0.19,N,4,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Very Low Rate,Low DTI,Short History,4-5 Years,5,5,5,0,0,15,Low Risk
11994,23,60000,Rent,0.0,Education,C,11200,10.78,0,0.19,N,3,Non-Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Low Rate,Low DTI,Very Short History,0-1 Years,20,5,5,0,0,30,Medium Risk
11995,24,78000,Own,8.0,Education,B,25000,12.18,0,0.32,N,4,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Medium Rate,High DTI,Short History,6-10 Years,10,10,20,0,0,40,Medium Risk
11996,24,61000,Rent,8.0,Personal,B,11200,9.99,0,0.18,N,3,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Low Rate,Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
11997,22,61200,Rent,6.0,Personal,A,11200,6.62,0,0.18,N,4,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Very Low Rate,Low DTI,Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11998,22,78000,Own,6.0,Personal,A,4000,7.74,0,0.05,N,4,Non-Default,No Previous Default,18-25,Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Short History,6-10 Years,5,5,5,0,0,15,Low Risk
11999,25,78000,Mortgage,9.0,Homeimprovement,B,14200,11.48,0,0.18,N,3,Non-Default,No Previous Default,18-25,Mid Income,Medium Loan,Low Rate,Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
12000,22,57800,Rent,6.0,Debtconsolidation,C,11200,13.16,1,0.19,N,3,Default,No Previous Default,18-25,Lower-Mid Income,Medium Loan,Medium Rate,Low DTI,Very Short History,6-10 Years,20,10,5,0,0,35,Medium Risk
12001,24,78000,Mortgage,5.0,Debtconsolidation,C,8000,13.22,0,0.1,N,2,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Medium Rate,Very Low DTI,Very Short History,4-5 Years,20,10,5,0,0,35,Medium Risk
12002,23,78000,Mortgage,1.0,Education,B,16000,11.89,0,0.21,N,3,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Low Rate,Medium DTI,Very Short History,0-1 Years,10,5,10,0,0,25,Low Risk
12003,22,78000,Mortgage,6.0,Debtconsolidation,B,9600,10.95,0,0.12,N,2,Non-Default,No Previous Default,18-25,Mid Income,Small Loan,Low Rate,Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
